1,86,59,5835
97,77,14,10020
2,62,12,3520
8,62,39,4555
77,90,96,11520
87,53,20,8370
70,29,57,7075
58,16,84,6380
38,87,72,8430
92,46,77,9745
49,6,36,4140
36,12,81,4785
84,76,3,8915
54,18,6,4290
69,88,53,9865
10,21,54,3000
88,4,96,7880
73,42,20,6980
85,86,63,10975
61,68,77,8985
87,19,49,7395
73,52,29,7705
84,86,23,9915
3,17,5,1155
1,77,54,5260
16,60,15,4335
47,62,72,7720
79,63,70,9640
37,93,88,9070
76,81,25,9235
89,81,59,10865
90,93,8,10250
2,21,78,3120
73,20,86,7530
50,55,38,6700
78,40,1,6705
57,81,11,7745
6,68,80,5760
40,90,22,7450
51,2,30,3910
42,89,51,8245
43,97,78,9380
99,87,27,10965
93,66,96,11280
25,55,87,6425
55,25,38,5500
22,86,92,7920
33,0,91,4255
5,97,37,6075
16,74,88,6860
42,34,81,6245
11,60,85,5785
6,44,62,4110
28,25,19,3405
75,60,94,9850
87,48,23,8195
45,33,25,4975
60,84,82,9850
65,96,56,10100
56,35,63,6685
31,74,44,6660
22,42,47,4595
63,54,6,6630
1,47,40,3410
19,58,89,6265
37,71,4,5870
67,75,13,8095
87,12,70,7570
67,89,69,10195
75,7,79,6825
4,10,29,1465
87,71,14,9120
89,43,94,9840
61,31,19,5685
34,97,48,8090
63,32,5,5505
89,77,42,10240
5,26,26,2250
20,67,45,5675
35,68,82,7550
7,8,39,1795
12,7,85,3195
38,46,86,6730
97,81,76,11770
50,79,3,7025
76,3,15,5085
38,40,36,5180
80,47,61,8675
17,55,93,6095
52,98,74,9870
99,46,5,8365
82,86,82,11270
86,15,51,7185
39,47,44,5790
52,86,36,8320
85,59,55,9425
80,98,45,10825
89,71,10,9140
48,32,88,6680
72,12,62,6470
71,59,37,8135
9,24,69,3465
91,46,13,8085
96,64,1,8985
1,48,48,3660
5,54,61,4525
68,75,89,10055
73,65,98,10080
98,72,0,9480
96,65,45,10135
20,45,30,4200
4,92,77,6765
11,17,9,1735
55,1,67,5025
96,78,30,10410
75,47,62,8400
28,25,57,4355
30,43,11,4225
48,15,99,6105
68,84,44,9380
58,1,2,3580
2,87,29,5195
31,13,15,2885
25,23,32,3450
11,84,70,6610
60,38,75,7375
74,27,39,6765
30,20,37,3725
87,66,46,9670
84,9,10,5740
51,33,74,6560
7,98,57,6745
58,89,71,9705
33,20,12,3280
11,8,85,3185
91,38,93,9685
78,29,57,7555
21,41,36,4210
56,33,0,5010
79,40,86,8890
41,83,62,8160
19,37,77,4915
75,45,25,7375
61,16,97,6885
97,22,5,7045
24,42,60,5040
47,82,32,7720
76,10,99,7535
61,75,12,7710
17,56,28,4520
14,88,67,6915
85,23,32,7050
86,55,50,9160
16,2,91,3335
63,23,31,5705
42,81,27,7245
39,65,21,6115
54,39,96,7590
66,97,91,11085
66,86,8,8460
30,48,32,5000
40,83,2,6600
46,25,94,6360
49,11,30,4240
81,28,44,7360
28,15,14,2780
4,68,63,5215
92,22,37,7545
89,76,17,9565
50,65,62,7800
85,7,85,7575
25,55,67,5925
83,53,52,8930
83,51,59,9005
50,41,54,6400
2,55,98,5320
46,27,2,4160
52,14,57,5245
25,86,43,6875
97,48,63,9795
26,62,75,6535
22,27,23,3245
32,12,60,4020
81,9,16,5710
15,12,19,1975
6,65,48,4810
83,88,23,9955
92,94,35,11095
13,46,55,4455
28,95,41,7455
15,1,92,3250
69,80,20,8640
34,16,14,3190
76,42,26,7310
90,96,47,11375
71,30,32,6560
18,86,63,6955
14,59,12,4090
61,61,52,8010
47,29,53,5595
10,23,82,3800
13,71,33,5155
21,72,1,4885
82,49,68,9070
45,40,28,5400
27,68,1,5045
17,35,82,4820
42,84,6,6870
38,8,69,4405
82,11,52,6770
91,97,42,11360
99,48,13,8665
36,55,28,5610
89,65,8,8790
87,17,88,8270
94,47,87,10165
91,69,57,10335
50,43,30,5900
85,36,58,8350
6,9,19,1285
93,65,31,9605
85,80,2,9150
55,35,37,5975
41,7,90,5060
51,33,5,4835
41,3,46,3760
97,11,7,6545
78,57,93,9855
42,21,33,4395
3,79,70,5880
70,5,42,5500
51,4,21,3785
7,4,44,1720
38,91,33,7655
17,11,54,2920
11,47,84,5110
94,40,21,8165
73,63,70,9280
86,62,32,9060
35,92,29,7425
78,3,54,6180
13,4,56,2380
3,29,92,3930
98,15,96,9030
84,77,42,9940
42,4,67,4395
59,2,87,5815
25,22,77,4525
56,17,48,5410
94,4,78,7790
75,99,15,9825
75,88,83,10975
9,58,80,5440
70,83,23,8925
0,45,65,3875
98,36,60,9180
80,22,28,6600
47,7,74,5020
39,96,43,8215
54,62,64,7940
54,14,51,5215
48,89,66,8980
16,96,71,7535
5,70,14,4150
0,88,19,4875
98,36,13,8005
88,77,19,9605
46,33,92,6710
73,59,41,8355
54,99,36,9090
53,30,17,5105
75,79,69,10175
86,44,98,9810
38,89,75,8605
71,89,33,9535
51,77,94,9260
61,18,8,4760
82,35,64,8270
63,26,49,6305
9,26,23,2415
63,52,92,8680
13,52,57,4805
55,22,99,6875
70,76,12,8300
99,44,86,10290
12,53,39,4345
15,6,41,2225
33,46,59,5755
3,83,18,4780
61,1,66,5360
0,63,96,5550
49,66,80,8240
11,31,1,2235
31,72,92,7760
18,17,32,2730
99,73,14,9940
46,79,49,7935
57,32,73,6845
53,81,75,9105
52,57,46,7120
79,11,68,6990
56,38,13,5585
57,54,21,6645
17,27,14,2720
68,72,69,9405
10,3,77,2675
57,59,40,7370
30,31,44,4450
69,73,92,10090
99,13,81,8615
80,42,99,9375
27,11,25,2795
